DateTime,PM2.5 (ug/m3),CO (ppm),NO2 (ppb),O3 (ppb),SO2 (ppb),Amb Temp (C),Rel Hum (%),WS (m/s),WD (Deg)
01/01/2020 24:00,----,0.3797,9,22,----,22,63,3.1,5
02/01/2020 24:00,----,0.3669,13,43,0,23,54,2,301
03/01/2020 24:00,----,0.3143,12,29,2,24,51,3.4,11
04/01/2020 24:00,----,0.315,12,32,2,22,58,2.9,335
05/01/2020 24:00,----,0.351,11,35,----,22,58,2.2,286
06/01/2020 24:00,----,0.5633,21,33,2,23,54,2.4,22
07/01/2020 24:00,----,0.3816,14,32,2,23,50,2.5,48
08/01/2020 24:00,----,0.5576,19,20,1,21,56,2.5,1
09/01/2020 24:00,----,0.5041,17,23,1,21,67,2.2,358
10/01/2020 24:00,----,0.351,14,14,1,20,69,2.8,79
11/01/2020 24:00,----,0.3454,13,17,2,20,65,2.7,26
12/01/2020 24:00,----,0.2779,11,28,2,23,58,2.1,55
13/01/2020 24:00,----,0.5171,15,26,4,22,60,2.3,90
14/01/2020 24:00,----,0.343,13,28,2,21,55,2.6,73
15/01/2020 24:00,----,0.3151,----,24,3,23,47,2.6,87
16/01/2020 24:00,----,0.4328,17,27,7,23,43,2.5,79
17/01/2020 24:00,----,0.5413,18,30,3,24,46,2.4,346
18/01/2020 24:00,----,0.3805,13,34,1,19,69,1.8,224
19/01/2020 24:00,----,0.2971,11,19,3,21,64,2.7,94
20/01/2020 24:00,----,0.3715,14,16,4,20,59,2.7,58
21/01/2020 24:00,----,0.573,14,24,5,21,65,2.5,321
22/01/2020 24:00,----,----,----,----,----,23,54,3.4,300
23/01/2020 24:00,----,0.5504,17,28,2,23,49,3.1,313
24/01/2020 24:00,----,0.4973,16,25,3,19,68,3.5,4
25/01/2020 24:00,----,0.3575,13,32,1,19,66,3.4,328
26/01/2020 24:00,----,0.3438,10,27,2,23,60,3.8,332
27/01/2020 24:00,----,0.3613,17,28,3,24,41,2.5,201
28/01/2020 24:00,----,0.4615,13,28,1,21,57,3.3,328
29/01/2020 24:00,----,0.622,19,27,2,24,49,2.4,341
