DateTime,PM2.5 (ug/m3),CO (ppm),NO2 (ppb),O3 (ppb),SO2 (ppb),Amb Temp (C),Rel Hum (%),WS (m/s),WD (Deg)
01/01/2015,15,0.4357,19,37,0,17,63,1.8,34
02/01/2015,15,0.3726,17,38,3,17,63,3.4,29
03/01/2015,12,0.35,20,40,10,20,47,2.2,134
04/01/2015,17,0.4418,19,45,1,20,47,2.6,289
05/01/2015,32,0.5402,23,42,2,20,53,2.5,344
06/01/2015,30,0.5873,21,36,2,17,63,3.2,40
07/01/2015,29,0.5731,18,50,1,17,63,2,302
08/01/2015,38,0.5594,22,33,5,20,57,2.6,75
09/01/2015,20,0.5027,26,37,11,19,58,2.2,131
10/01/2015,25,0.49,25,36,10,18,53,2.4,83
11/01/2015,15,0.4873,27,23,25,19,44,2.5,67
12/01/2015,10,0.6765,26,34,3,19,52,2.5,257
13/01/2015,33,0.6623,30,18,12,16,71,3.1,63
14/01/2015,33,0.883,33,29,8,15,73,2.2,47
15/01/2015,29,0.66,24,56,1,17,65,2.5,276
16/01/2015,14,0.3211,16,45,5,18,46,2.7,164
17/01/2015,22,0.375,14,40,2,16,65,3.5,339
18/01/2015,28,0.5618,25,41,5,16,61,2.6,12
19/01/2015,21,0.4766,21,40,2,16,58,3,16
20/01/2015,16,0.6452,29,31,1,16,57,2.7,348
21/01/2015,22,0.6755,33,40,8,17,54,2.5,39
22/01/2015,19,0.5727,31,38,7,19,50,2.4,85
23/01/2015,25,0.5178,23,46,3,19,55,2.8,342
24/01/2015,17,0.3706,18,45,1,17,55,3.2,299
25/01/2015,18,0.4874,20,50,1,18,58,2.7,303
26/01/2015,28,0.5756,27,46,1,18,63,2,185
27/01/2015,14,0.8135,32,25,1,13,79,2.4,25
28/01/2015,21,0.4856,21,42,1,16,65,3,22
29/01/2015,28,0.7222,36,38,3,17,63,2.1,39
30/01/2015,22,0.4692,21,39,0,15,71,2.7,332
31/01/2015,12,0.4443,23,51,1,17,56,2.4,238
01/02/2015,12,0.4316,17,49,0,17,56,3.6,281
02/02/2015,5,0.6124,24,44,2,17,37,2.7,276
03/02/2015,4,0.2868,14,67,1,26,30,4.4,260
