Year,Month,Day,PM2.5 (ug/m3),CO_1h (ppm),NO2_1h (ppb),O3_8h (ppb),SO2_1h (ppb),Amb Temp (C),Rel Hum (%),WS (m/s),AOD_500nm
2018,1,1,13.3,0.428083,25.191667,10.765,0.754167,6.296296,50.666667,0.885273,0.044069
2018,1,2,10.4,0.441458,25.978261,6.824,0.904167,4.282407,59.291667,0.820967,0.081388
2018,1,3,13.6,0.664708,29.333333,5.176,1.758333,5.694444,59.416667,0.385833,#N/A
2018,1,4,11.2,0.577125,29.657895,7.824,1.345833,7.569444,66.583333,0.460856,0.037416
2018,1,5,7.3,0.415111,25.334783,11.5,0.944444,8.611111,68.916667,0.497296,#N/A
2018,1,6,6.1,0.195417,15.895833,19.294,0.195833,7.152778,70.25,0.786671,0.025385
2018,1,7,7.7,0.325125,21.858333,10.059,0.466667,3.032407,66.666667,0.600185,0.039652
2018,1,8,12.3,0.55,26.743478,3.529,1.227273,5.347222,79.25,0.308667,#N/A
2018,1,9,7.9,0.324042,19.071429,17,0.783333,6.898148,85.916667,0.555171,#N/A
2018,1,10,1.4,0.086458,9.116667,20.882,0.308333,8.101852,61.875,1.380426,0.028481
2018,1,11,7.7,0.37055,18.943478,39,1.105,6.805556,60.833333,1.341842,0.020527
2018,1,12,6.6,0.309333,21.645833,13.588,0.483333,6.666667,56.791667,0.96244,0.035078
2018,1,13,9.4,0.34525,20.929167,14.588,0.5,5.023148,61.541667,1.129634,0.050792
2018,1,14,10.2,0.373042,22.617391,8.529,0.575,4.930556,64.333333,0.820967,0.049853
2018,1,15,15.7,0.678417,27.379167,3.235,1.541667,5.509259,68.791667,0.400838,#N/A
2018,1,16,10,0.42119,25.875,7.714,0.780952,7.662037,65.666667,0.61519,#N/A
2018,1,17,12.7,0.571833,29.33913,7.529,1.495833,6.967593,69.166667,0.57875,#N/A
2018,1,18,3.5,0.073583,6.691667,35.471,0.208333,11.782407,52.125,2.24212,0.047279
2018,1,19,0.9,0.063125,5.220833,34.176,0.145833,3.680556,54.708333,1.757685,0.027759
2018,1,20,1.3,0.14675,11.878261,23.294,0.1875,-0.347222,61.375,1.144639,0.028774
2018,1,21,6.9,0.282042,19.108333,26.765,0.504167,0.902778,57.291667,0.818824,#N/A
2018,1,22,4.9,0.221545,21.419048,19.176,0.295455,5.069444,57,1.013884,0.043674
2018,1,23,10.3,0.451542,28.656522,8.824,0.991667,3.449074,59.833333,0.580894,0.089394
2018,1,24,5.7,0.177083,14.516667,38.941,0.445833,6.689815,42.291667,1.701953,#N/A
2018,1,25,1.3,0.08,7.4125,32.824,0.108333,1.851852,57.583333,1.678375,0.030773
2018,1,26,5.5,0.290167,20.2,25,0.483333,1.481482,58.541667,0.508014,#N/A
